,name,url,wins,losses,draws,height,weight,division,reach,stance,dob,SLpM,StrAcc,SApM,StrDef,TDAvg,TDAcc,TDDef,SubAvg
19,John Albert,http://www.fightmetric.com/fighter-details/7bd94b60d7521e4a,7,5,0,"5' 8""",135 lbs.,Bantamweight,"68""",,"Oct 13, 1986",3.05,49%,2.82,35%,0.00,0%,50%,6.1
20,Wes Albritton,http://www.fightmetric.com/fighter-details/184b955181bdef52,0,1,0,"5' 10""",188 lbs.,Light Heavyweight,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
21,Alexandra Albu,http://www.fightmetric.com/fighter-details/e76d9f656ceb82ab,5,0,0,"5' 2""",135 lbs.,Bantamweight,--,,"Jul 14, 1990",0.00,0%,0.00,0%,0.00,0%,0%,0.0
22,Israel Albuquerque,http://www.fightmetric.com/fighter-details/dd1b90eea08887f6,0,3,0,--,185 lbs.,Middleweight,--,Orthodox,--,0.32,13%,3.34,25%,0.00,0%,0%,0.0
23,Juan Alcain,http://www.fightmetric.com/fighter-details/39f62b833e4cf126,1,2,0,--,--,,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
24,Iuri Alcantara,http://www.fightmetric.com/fighter-details/2f95a3c6d58b2aad,31,5,0,"5' 9""",135 lbs.,Bantamweight,"71""",Southpaw,"Aug 04, 1980",2.36,46%,1.83,50%,1.83,75%,54%,0.8
25,Ildemar Alcantara,http://www.fightmetric.com/fighter-details/7c6e87729e824ef4,20,7,0,"6' 2""",185 lbs.,Middleweight,"78""",Orthodox,"Nov 18, 1982",2.17,42%,2.97,45%,2.88,72%,79%,1.3
26,Alfonso Alcarez,http://www.fightmetric.com/fighter-details/1e38bba6738b7b10,1,3,1,"5' 3""",145 lbs.,Featherweight,--,,"Jun 10, 1970",0.00,0%,0.00,0%,0.00,0%,0%,0.0
27,Gilbert Aldana,http://www.fightmetric.com/fighter-details/d26934530dc5b248,6,2,0,"6' 1""",250 lbs.,Heavyweight,--,Orthodox,"Aug 25, 1977",2.91,54%,6.26,26%,2.57,40%,33%,0.0
28,Jose Aldo,http://www.fightmetric.com/fighter-details/d0f3959b4a9747e6,25,1,0,"5' 7""",145 lbs.,Featherweight,"70""",Orthodox,"Sep 09, 1986",3.29,43%,1.94,72%,0.93,72%,91%,0.2
29,Jim Alers,http://www.fightmetric.com/fighter-details/fe5a9547479396ab,13,1,0,"5' 9""",145 lbs.,Featherweight,"73""",Orthodox,"Oct 14, 1986",2.40,38%,3.87,42%,2.00,40%,66%,0.0
30,John Alessio,http://www.fightmetric.com/fighter-details/7a15f3694c5cbc02,34,16,0,"5' 10""",155 lbs.,Lightweight,"72""",Orthodox,"Jul 05, 1979",1.89,35%,2.32,59%,1.82,37%,72%,1.0
31,Kenneth Alexander,http://www.fightmetric.com/fighter-details/8fd76e1b49c00ae2,5,5,0,"5' 9""",155 lbs.,Lightweight,--,Orthodox,"Sep 25, 1977",0.88,19%,2.20,66%,4.71,26%,0%,0.0
32,Houston Alexander,http://www.fightmetric.com/fighter-details/0541480fbf719d86,13,7,0,"6' 0""",205 lbs.,Light Heavyweight,"72""",Orthodox,"Mar 22, 1972",3.64,55%,3.25,47%,0.59,100%,36%,0.0
33,Marcio Alexandre,http://www.fightmetric.com/fighter-details/d53482bef23235ba,13,1,0,"6' 0""",170 lbs.,Welterweight,"75""",Southpaw,"May 05, 1989",0.77,38%,1.82,51%,0.00,0%,33%,0.0
34,Pablo Alfonso,http://www.fightmetric.com/fighter-details/4b37a0bc2ab4cae1,6,5,0,"5' 8""",145 lbs.,Featherweight,--,,"May 09, 1983",0.00,0%,0.00,0%,0.00,0%,0%,0.0
35,Olaf Alfonso,http://www.fightmetric.com/fighter-details/b757c73f443d4fca,8,11,0,"6' 2""",170 lbs.,Welterweight,--,Orthodox,"Aug 06, 1974",0.74,26%,5.33,37%,0.00,0%,22%,0.6
36,Levi Alford,http://www.fightmetric.com/fighter-details/41b34b7f11f6d085,1,4,0,--,--,,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
37,Royce Alger,http://www.fightmetric.com/fighter-details/669a3cb6e394f515,3,2,0,"5' 10""",199 lbs.,Light Heavyweight,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
38,Sultan Aliev,http://www.fightmetric.com/fighter-details/e70de1859b7ee78e,13,1,0,"6' 0""",170 lbs.,Welterweight,--,,"Sep 17, 1984",0.00,0%,0.00,0%,0.00,0%,0%,0.0
39,George Allen,http://www.fightmetric.com/fighter-details/1e13936d708bcff7,13,19,2,"6' 2""",205 lbs.,Light Heavyweight,--,Open Stance,"Jan 13, 1967",0.80,38%,3.10,43%,0.00,0%,50%,0.0
40,Benny Alloway,http://www.fightmetric.com/fighter-details/c4fe2e9a06ea5bcb,13,6,0,"5' 11""",170 lbs.,Welterweight,"75""",Orthodox,"Feb 19, 1981",1.28,49%,1.90,59%,0.62,50%,26%,0.0
41,Magno Almeida,http://www.fightmetric.com/fighter-details/d615d6a10a4704cd,9,3,0,"6' 0""",155 lbs.,Lightweight,--,,"Jun 06, 1985",1.67,36%,2.60,41%,0.00,0%,40%,5.0
42,Thomas Almeida,http://www.fightmetric.com/fighter-details/2b074403b7c6cdb4,18,0,0,"5' 7""",135 lbs.,Bantamweight,"70""",Southpaw,"Jul 31, 1991",8.00,55%,4.47,64%,0.00,0%,81%,0.0
43,Ricardo Almeida,http://www.fightmetric.com/fighter-details/91186547a7f3f758,13,5,0,"6' 0""",170 lbs.,Welterweight,"74""",Orthodox,"Nov 29, 1976",2.02,49%,1.20,61%,3.74,38%,31%,1.2
44,Rico Altamirano,http://www.fightmetric.com/fighter-details/c61b49cec6abd6b9,3,2,0,"5' 10""",170 lbs.,Welterweight,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
45,Mike Altman,http://www.fightmetric.com/fighter-details/c11036da9162cb5f,1,4,0,"5' 10""",185 lbs.,Middleweight,--,Orthodox,--,1.56,20%,2.08,75%,0.00,0%,0%,0.0
46,Sean Alvarez,http://www.fightmetric.com/fighter-details/e741536153227386,4,3,0,"6' 0""",235 lbs.,Heavyweight,--,Orthodox,"Jul 14, 1971",0.89,37%,3.25,47%,0.00,0%,0%,0.0
47,Eddie Alvarez,http://www.fightmetric.com/fighter-details/33a331684283900f,25,4,0,"5' 9""",155 lbs.,Lightweight,"69""",Orthodox,"Jan 11, 1984",3.74,40%,3.28,56%,3.57,48%,90%,0.8
48,Anthony Alves,http://www.fightmetric.com/fighter-details/bd92cf5da5413d2a,1,3,0,--,--,,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
49,Thiago Alves,http://www.fightmetric.com/fighter-details/31ee470ef5dc8d7f,25,8,0,"5' 9""",170 lbs.,Welterweight,"68""",Orthodox,"Oct 03, 1983",3.56,41%,2.84,65%,0.85,64%,66%,0.4
50,Amilcar Alves,http://www.fightmetric.com/fighter-details/dc5a6b2fdb27e7dc,11,4,0,"6' 0""",170 lbs.,Welterweight,--,Southpaw,"Aug 08, 1988",0.50,46%,2.02,30%,0.00,0%,53%,0.0
51,Warlley Alves,http://www.fightmetric.com/fighter-details/d317a5e2b3f88c5f,9,0,0,"5' 11""",170 lbs.,Welterweight,"72""",Orthodox,"Jan 04, 1991",2.60,45%,3.42,50%,1.77,75%,100%,1.2
52,Sam Alvey,http://www.fightmetric.com/fighter-details/d156513a19acf856,24,6,0,"6' 2""",185 lbs.,Middleweight,"75""",Southpaw,"May 06, 1986",5.10,50%,5.15,48%,0.00,0%,71%,0.0
53,Andre Amado,http://www.fightmetric.com/fighter-details/20821819c401ced8,6,4,1,"6' 0""",154 lbs.,Lightweight,--,Orthodox,--,2.27,24%,5.91,63%,0.00,0%,20%,0.0
54,Adlan Amagov,http://www.fightmetric.com/fighter-details/1e327b281ef6a745,13,2,1,"6' 2""",170 lbs.,Welterweight,"76""",Orthodox,"Oct 30, 1986",3.29,47%,0.82,78%,5.84,56%,100%,0.0
55,Chris Amarante,http://www.fightmetric.com/fighter-details/ee0b69e307c857e5,2,0,0,--,185 lbs.,Middleweight,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
56,Jimmy Ambriz,http://www.fightmetric.com/fighter-details/c912f676692c353a,15,18,1,"6' 2""",315 lbs.,Super Heavyweight,--,Southpaw,"Jan 26, 1970",0.83,29%,3.76,40%,3.13,57%,100%,0.8
57,JJ Ambrose,http://www.fightmetric.com/fighter-details/d562b12b8fe88336,17,3,0,"5' 10""",170 lbs.,Welterweight,--,Orthodox,--,3.16,69%,6.32,33%,0.00,0%,50%,0.0
58,Makwan Amirkhani,http://www.fightmetric.com/fighter-details/87a1dc546b1c5caf,10,2,0,"5' 11""",145 lbs.,Featherweight,--,,"Nov 08, 1988",0.00,0%,0.00,0%,0.00,0%,0%,0.0
59,Karl Amoussou,http://www.fightmetric.com/fighter-details/23a8c33869bf5392,12,4,2,"5' 11""",185 lbs.,Middleweight,--,Orthodox,"Nov 21, 1985",1.47,34%,2.67,54%,0.00,0%,25%,1.0
60,Bertrand Amoussou,http://www.fightmetric.com/fighter-details/53adf5b845d91e4a,1,1,0,"5' 8""",190 lbs.,Light Heavyweight,--,Orthodox,--,6.75,39%,2.01,83%,0.00,0%,0%,0.0
61,Matt Andersen,http://www.fightmetric.com/fighter-details/8738eacd62e82a32,14,8,1,"6' 2""",230 lbs.,Heavyweight,--,Southpaw,"May 29, 1971",0.00,0%,0.00,0%,0.00,0%,0%,0.0
62,Corey Anderson,http://www.fightmetric.com/fighter-details/5e4eec08896c9423,6,0,0,"6' 3""",205 lbs.,Light Heavyweight,"79""",,"Sep 22, 1989",4.31,54%,1.87,62%,8.43,60%,100%,0.0
63,Andy Anderson,http://www.fightmetric.com/fighter-details/9199e0735b83dd32,0,1,0,"5' 6""",240 lbs.,Heavyweight,--,,"Jul 16, 1974",0.00,0%,0.00,0%,0.00,0%,0%,0.0
64,Lowell Anderson,http://www.fightmetric.com/fighter-details/1ffc38f67785797b,0,1,0,"5' 6""",160 lbs.,Welterweight,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
65,Jessica Andrade,http://www.fightmetric.com/fighter-details/6a1901c62ab3870f,12,3,0,"5' 1""",135 lbs.,Bantamweight,"62""",Orthodox,"Sep 25, 1991",6.92,55%,5.20,55%,2.07,50%,60%,1.0
66,Alex Andrade,http://www.fightmetric.com/fighter-details/1562b12763cc8d67,10,5,0,"5' 11""",200 lbs.,Light Heavyweight,--,Orthodox,"May 14, 1974",0.20,36%,2.60,53%,0.00,0%,25%,0.8
67,Viscardi Andrade,http://www.fightmetric.com/fighter-details/d221ee27afc7a60e,17,7,0,"5' 11""",170 lbs.,Welterweight,"75""",Orthodox,"Mar 08, 1984",2.17,41%,2.71,62%,0.90,50%,60%,0.0
68,Jermaine Andre,http://www.fightmetric.com/fighter-details/9bad58fa651d6196,14,4,0,"5' 7""",200 lbs.,Light Heavyweight,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
69,Dylan Andrews,http://www.fightmetric.com/fighter-details/00debc804e2b1cd4,18,7,0,"6' 1""",185 lbs.,Middleweight,"74""",Switch,"Nov 15, 1979",2.10,53%,2.17,48%,3.31,50%,50%,0.0
70,Reese Andy,http://www.fightmetric.com/fighter-details/46e2ca71fd5089cb,7,3,0,"6' 0""",205 lbs.,Light Heavyweight,--,Orthodox,"Mar 31, 1973",2.87,50%,3.50,58%,0.67,20%,40%,0.0
71,Yoji Anjo,http://www.fightmetric.com/fighter-details/e06fd1260ac865a7,0,5,1,"5' 11""",205 lbs.,Light Heavyweight,--,Orthodox,"Mar 28, 1967",0.00,0%,3.13,25%,0.00,0%,0%,0.0
72,Nina Ansaroff,http://www.fightmetric.com/fighter-details/d343df8ba11f4c4e,6,4,0,"5' 5""",115 lbs.,Flyweight,"64""",Orthodox,"Dec 03, 1985",1.53,53%,1.40,44%,0.00,0%,75%,2.0
73,Adam Antolin,http://www.fightmetric.com/fighter-details/25b31165758402dd,3,3,0,"5' 5""",135 lbs.,Bantamweight,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
74,Angelo Antonio,http://www.fightmetric.com/fighter-details/dbd198f780286aca,0,3,0,--,205 lbs.,Light Heavyweight,--,Orthodox,--,1.09,50%,7.64,50%,0.00,0%,0%,0.0
75,Shinsho Anzai,http://www.fightmetric.com/fighter-details/4665f9f909cd7214,8,2,0,"5' 7""",170 lbs.,Welterweight,"69""",Orthodox,"Dec 01, 1985",7.24,67%,7.94,41%,3.50,100%,100%,0.0
76,Shinya Aoki,http://www.fightmetric.com/fighter-details/79ded75550efc139,30,5,0,"5' 11""",154 lbs.,Lightweight,--,Southpaw,"May 09, 1983",0.97,58%,1.25,58%,2.54,41%,60%,4.0
77,Erik Apple,http://www.fightmetric.com/fighter-details/1ccff7f0cfdf85eb,10,3,0,"6' 0""",170 lbs.,Welterweight,--,Orthodox,"Aug 26, 1977",0.00,0%,0.54,81%,0.00,0%,0%,8.1
78,Kenji Arai,http://www.fightmetric.com/fighter-details/269d103c96a4c3a5,15,15,5,"5' 10""",145 lbs.,Featherweight,--,Southpaw,"Oct 05, 1979",8.79,27%,10.29,39%,0.00,0%,0%,0.0
79,Romie Aram,http://www.fightmetric.com/fighter-details/73ef22f25d0f70e2,7,1,0,"5' 10""",170 lbs.,Welterweight,--,Orthodox,"Dec 02, 1977",1.80,35%,2.83,50%,2.50,62%,83%,0.0
80,Felipe Arantes,http://www.fightmetric.com/fighter-details/71002dbc1743b9a7,16,7,1,"5' 8""",145 lbs.,Featherweight,"73""",Orthodox,"Feb 09, 1988",2.67,49%,2.47,64%,1.44,60%,42%,0.5
81,Igor Araujo,http://www.fightmetric.com/fighter-details/dbea8c1cb327ab3d,25,7,0,"6' 1""",170 lbs.,Welterweight,"77""",Orthodox,"Dec 06, 1980",1.09,37%,2.11,39%,1.20,18%,33%,0.8
82,Tristan Arenal,http://www.fightmetric.com/fighter-details/9c9455912d917e4e,4,1,0,--,155 lbs.,Lightweight,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
83,Andrei Arlovski,http://www.fightmetric.com/fighter-details/3738e68d2261e60f,23,10,0,"6' 3""",240 lbs.,Heavyweight,"77""",Orthodox,"Feb 04, 1979",2.96,38%,2.30,63%,0.39,40%,85%,0.6
84,Joey Armstrong,http://www.fightmetric.com/fighter-details/30ad2050273d016a,5,2,0,--,--,,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
85,Ricardo Arona,http://www.fightmetric.com/fighter-details/05fbfe628658c538,14,5,0,"5' 11""",205 lbs.,Light Heavyweight,--,Orthodox,"Jul 17, 1978",1.66,48%,1.15,57%,2.41,48%,58%,1.2
86,Chalid Arrab,http://www.fightmetric.com/fighter-details/770b9d4813c25902,7,3,0,"5' 11""",205 lbs.,Light Heavyweight,--,Orthodox,"May 28, 1975",1.56,34%,1.63,56%,3.05,75%,37%,1.0
87,Akbarh Arreola,http://www.fightmetric.com/fighter-details/c136b2a8852da5bd,23,8,1,"5' 10""",155 lbs.,Lightweight,"71""",Southpaw,"Jan 14, 1983",2.49,42%,3.97,62%,2.67,100%,0%,0.9
88,Matt Arroyo,http://www.fightmetric.com/fighter-details/de62052b2ede65ba,3,3,0,"5' 10""",170 lbs.,Welterweight,"72""",Orthodox,"Sep 01, 1982",1.62,47%,2.01,58%,2.12,36%,100%,5.3
89,Gilles Arsene,http://www.fightmetric.com/fighter-details/2dea80c069847321,1,1,0,"5' 9""",190 lbs.,Light Heavyweight,--,Southpaw,--,0.06,10%,2.45,32%,0.00,0%,0%,0.0
90,Scott Askham,http://www.fightmetric.com/fighter-details/06827d70c53ff0d9,12,1,0,"6' 3""",185 lbs.,Middleweight,"75""",Southpaw,"May 20, 1988",2.80,82%,1.53,32%,0.00,0%,50%,0.0
91,Junior Assuncao,http://www.fightmetric.com/fighter-details/d0d7160824278840,13,4,0,"5' 9""",145 lbs.,Featherweight,"72""",Orthodox,"Jun 24, 1981",3.31,62%,2.06,44%,2.43,24%,66%,0.7
92,Raphael Assuncao,http://www.fightmetric.com/fighter-details/2f13e4020cea5b38,23,4,0,"5' 5""",135 lbs.,Bantamweight,"66""",Orthodox,"Jul 19, 1982",3.45,43%,1.89,70%,1.83,35%,76%,0.5
93,Bazigit Atajev,http://www.fightmetric.com/fighter-details/fd7acf42bd6e7e95,17,1,0,"6' 1""",230 lbs.,Heavyweight,--,Orthodox,--,0.87,41%,3.14,49%,1.00,33%,0%,0.0
94,Rich Attonito,http://www.fightmetric.com/fighter-details/210935fd21670f6d,10,5,0,"5' 10""",170 lbs.,Welterweight,"72""",Orthodox,"Jun 16, 1977",2.28,47%,2.13,59%,0.74,37%,75%,0.0
95,Olivier Aubin-Mercier,http://www.fightmetric.com/fighter-details/55ee431411ccf07a,6,1,0,"5' 9""",155 lbs.,Lightweight,"70""",Southpaw,"Feb 23, 1989",3.25,46%,4.07,57%,2.57,28%,0%,0.6
96,Pat Audinwood,http://www.fightmetric.com/fighter-details/196ed28337adc630,9,2,1,"6' 0""",155 lbs.,Lightweight,--,Orthodox,"Apr 16, 1986",1.17,12%,4.31,41%,0.80,50%,0%,0.0
97,Marcus Aurelio,http://www.fightmetric.com/fighter-details/04643fd03d9159cc,21,10,0,"5' 10""",155 lbs.,Lightweight,"74""",Orthodox,"Aug 18, 1973",1.42,33%,2.27,59%,1.69,27%,27%,1.3
98,David Avellan,http://www.fightmetric.com/fighter-details/956dcac65e7b34d6,2,1,0,"5' 9""",185 lbs.,Middleweight,--,Orthodox,--,3.33,25%,10.00,57%,0.00,0%,0%,0.0
99,Blas Avena,http://www.fightmetric.com/fighter-details/8753e125f4499816,7,6,0,"6' 0""",170 lbs.,Welterweight,"74""",Orthodox,"Jun 30, 1983",2.34,47%,3.36,43%,2.37,80%,50%,1.8
100,Levi Avera,http://www.fightmetric.com/fighter-details/ba5c6eeb8ef45f5c,16,10,0,"6' 1""",170 lbs.,Welterweight,--,,"May 17, 1982",0.00,0%,0.00,0%,0.00,0%,0%,0.0
101,Anthony Avila,http://www.fightmetric.com/fighter-details/033d19259f589457,6,1,0,--,150 lbs.,Lightweight,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
102,Saad Awad,http://www.fightmetric.com/fighter-details/da603332ad41f165,8,4,0,"5' 11""",155 lbs.,Lightweight,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
103,Luiz Azeredo,http://www.fightmetric.com/fighter-details/063649e21bc9d6d5,15,10,0,"5' 9""",154 lbs.,Lightweight,--,Orthodox,"Jun 10, 1976",2.16,39%,2.76,57%,1.07,50%,45%,0.3
104,Luciano Azevedo,http://www.fightmetric.com/fighter-details/9bcfb40dbcd50568,16,9,1,"6' 3""",161 lbs.,Welterweight,--,Orthodox,"Jun 25, 1981",0.76,45%,1.97,27%,2.28,11%,0%,0.0
105,Niklas Backstrom,http://www.fightmetric.com/fighter-details/39cc64bf0a269db9,8,1,0,"6' 1""",145 lbs.,Featherweight,"74""",Orthodox,"Aug 22, 1989",2.16,50%,2.34,50%,0.00,0%,75%,5.4
106,Seth Baczynski,http://www.fightmetric.com/fighter-details/fd5b6598a3b70c0a,18,10,0,"6' 3""",170 lbs.,Welterweight,"74""",Orthodox,"Oct 26, 1981",3.09,31%,3.12,51%,0.90,16%,48%,0.7
107,Ryan Bader,http://www.fightmetric.com/fighter-details/c0ab242c40decc55,19,4,0,"6' 2""",205 lbs.,Light Heavyweight,"74""",Orthodox,"Jun 07, 1983",2.63,42%,1.33,71%,3.84,44%,57%,0.5
108,Ali Bagautinov,http://www.fightmetric.com/fighter-details/3dd92ff9fb0412b3,13,3,0,"5' 4""",125 lbs.,Flyweight,"65""",Orthodox,"Jun 10, 1985",2.42,38%,3.43,50%,2.63,36%,75%,0.4
109,Siyar Bahadurzada,http://www.fightmetric.com/fighter-details/aec185309b4843d0,21,6,1,"5' 11""",170 lbs.,Welterweight,"76""",Orthodox,"Apr 17, 1984",1.69,35%,2.28,53%,0.49,50%,71%,0.0
110,Shamar Bailey,http://www.fightmetric.com/fighter-details/e2b8186b618b00c4,12,5,0,"5' 9""",155 lbs.,Lightweight,"75""",,"Sep 22, 1982",2.04,25%,3.81,72%,2.15,35%,25%,0.0
111,Bryan Baker,http://www.fightmetric.com/fighter-details/898337ef520fe4d3,16,3,0,"6' 3""",185 lbs.,Middleweight,--,Orthodox,"Oct 13, 1985",1.78,52%,2.83,45%,0.44,50%,37%,0.9
112,Scott Baker,http://www.fightmetric.com/fighter-details/7d5b12de1625984e,1,1,0,"6' 0""",210 lbs.,Heavyweight,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
113,Marcin Bandel,http://www.fightmetric.com/fighter-details/5c2ce761399dc9c5,13,3,0,"5' 10""",155 lbs.,Lightweight,"70""",Orthodox,"Oct 10, 1989",2.95,42%,8.85,10%,0.00,0%,0%,0.0
114,Tae Hyun,http://www.fightmetric.com/fighter-details/9a2d3567abc02e34,17,8,0,"5' 9""",155 lbs.,Lightweight,"71""",Switch,"Apr 15, 1983",2.22,34%,2.29,65%,0.00,0%,43%,0.0
115,Yohan Banks,http://www.fightmetric.com/fighter-details/c50ea21fe9ef478d,2,1,0,--,--,,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
116,Antonio Banuelos,http://www.fightmetric.com/fighter-details/9ddfb3369a3b0394,19,7,1,"5' 5""",135 lbs.,Bantamweight,"63""",Orthodox,"Sep 23, 1979",2.71,33%,3.30,58%,1.38,58%,85%,0.4
117,Renan Barao,http://www.fightmetric.com/fighter-details/2c99576fefe53c7c,34,2,0,"5' 6""",135 lbs.,Bantamweight,"70""",Orthodox,"Jan 31, 1987",3.55,33%,3.02,63%,1.31,55%,96%,0.7
118,Junior Barata,http://www.fightmetric.com/fighter-details/06dced58ca24a6bd,8,3,1,"5' 10""",170 lbs.,Welterweight,--,Orthodox,"Jan 25, 1982",4.03,33%,8.46,34%,0.00,0%,0%,0.0
119,Bryan Barberena,http://www.fightmetric.com/fighter-details/a331233f597090a5,10,2,0,"6' 0""",155 lbs.,Lightweight,"72""",Southpaw,"May 03, 1989",4.70,51%,1.79,60%,0.00,0%,40%,0.0
120,Edson Barboza,http://www.fightmetric.com/fighter-details/64a50dad704d1d49,15,2,0,"5' 11""",155 lbs.,Lightweight,"75""",Orthodox,"Jan 21, 1986",4.06,40%,3.42,62%,0.59,66%,84%,0.1
121,Luke Barnatt,http://www.fightmetric.com/fighter-details/172c2135e70f87b7,8,2,0,"6' 6""",185 lbs.,Middleweight,"77""",Orthodox,"Apr 13, 1988",4.86,35%,4.28,60%,0.53,40%,82%,0.5
122,Josh Barnett,http://www.fightmetric.com/fighter-details/ad3f53c454cbbead,33,7,0,"6' 3""",250 lbs.,Heavyweight,"78""",Orthodox,"Nov 10, 1977",2.79,46%,1.94,59%,1.47,57%,54%,1.6
123,Chris Barnhizer,http://www.fightmetric.com/fighter-details/91e69a1c3c87325b,1,2,0,--,--,,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
124,David Baron,http://www.fightmetric.com/fighter-details/80c0bed43da0e27b,17,3,1,"5' 6""",155 lbs.,Lightweight,--,Switch,"Feb 15, 1973",1.17,30%,2.10,56%,0.00,0%,14%,0.7
